Team 1,Team 2,Winner,Margin,Ground,Match Date,Scorecard
DC,KXIP,DC,9 wickets,Delhi,"May 1, 2015",T20
MI,RR,MI,8 runs,Mumbai,"May 1, 2015",T20
RCB,KKR,RCB,7 wickets,Bengaluru,"May 2, 2015",T20
SRH,CSK,SRH,22 runs,Hyderabad (Deccan),"May 2, 2015",T20
KXIP,MI,MI,23 runs,Mohali,"May 3, 2015",T20
RR,DC,RR,14 runs,Mumbai (BS),"May 3, 2015",T20
CSK,RCB,CSK,24 runs,Chennai,"May 4, 2015",T20
KKR,SRH,KKR,35 runs,Kolkata,"May 4, 2015",T20
MI,DC,MI,5 wickets,Mumbai,"May 5, 2015",T20
RCB,KXIP,RCB,138 runs,Bengaluru,"May 6, 2015",T20
KKR,DC,KKR,13 runs,Kolkata,"May 7, 2015",T20
RR,SRH,SRH,7 runs,Mumbai (BS),"May 7, 2015",T20
CSK,MI,MI,6 wickets,Chennai,"May 8, 2015",T20
KKR,KXIP,KKR,1 wicket,Kolkata,"May 9, 2015",T20
DC,SRH,SRH,6 runs,Raipur,"May 9, 2015",T20
CSK,RR,CSK,12 runs,Chennai,"May 10, 2015",T20
MI,RCB,RCB,39 runs,Mumbai,"May 10, 2015",T20
SRH,KXIP,SRH,5 runs,Hyderabad (Deccan),"May 11, 2015",T20
DC,CSK,DC,6 wickets,Raipur,"May 12, 2015",T20
KXIP,RCB,KXIP,22 runs,Mohali,"May 13, 2015",T20
MI,KKR,MI,5 runs,Mumbai,"May 14, 2015",T20
SRH,RCB,RCB,6 wickets,Hyderabad (Deccan),"May 15, 2015",T20
KXIP,CSK,CSK,7 wickets,Mohali,"May 16, 2015",T20
RR,KKR,RR,9 runs,Mumbai (BS),"May 16, 2015",T20
SRH,MI,MI,9 wickets,Hyderabad (Deccan),"May 17, 2015",T20
RCB,DC,no result,,Bengaluru,"May 17, 2015",T20
CSK,MI,MI,25 runs,Mumbai,"May 19, 2015",T20
RCB,RR,RCB,71 runs,Pune,"May 20, 2015",T20
CSK,RCB,CSK,3 wickets,Ranchi,"May 22, 2015",T20
MI,CSK,MI,41 runs,Kolkata,"May 24, 2015",T20
KKR,DC,KKR,9 wickets,Kolkata,"Apr 10, 2016",T20
RCB,SRH,RCB,45 runs,Bengaluru,"Apr 12, 2016",T20
KKR,MI,MI,6 wickets,Kolkata,"Apr 13, 2016",T20
